"","family_income","NAME","Total Population","state","county","Census.Tract","n","avg_calls","id","alt_boro","alt_ct"
"1",0,"Census Tract 1, Bronx County, New York",11517,"36","05","000100",4,0.000347312668229574,"36005000100","2","2000100"
"2",1379,"Census Tract 2, Bronx County, New York",4286,"36","05","000200",5,0.00116658889407373,"36005000200","2","2000200"
"3",1921,"Census Tract 4, Bronx County, New York",4893,"36","05","000400",12,0.00245248313917842,"36005000400","2","2000400"
"4",1964,"Census Tract 16, Bronx County, New York",5140,"36","05","001600",5,0.000972762645914397,"36005001600","2","2001600"
"5",901,"Census Tract 19, Bronx County, New York",2142,"36","05","001900",19,0.00887021475256769,"36005001900","2","2001900"
"6",2953,"Census Tract 20, Bronx County, New York",8802,"36","05","002000",10,0.00113610543058396,"36005002000","2","2002000"
"7",1937,"Census Tract 23, Bronx County, New York",5036,"36","05","002300",6,0.00119142176330421,"36005002300","2","2002300"
"8",1840,"Census Tract 25, Bronx County, New York",4934,"36","05","002500",5,0.00101337657073368,"36005002500","2","2002500"
"9",1102,"Census Tract 27.01, Bronx County, New York",3063,"36","05","002701",1,0.000326477309826967,"36005002701","2","2002701"
"10",2334,"Census Tract 28, Bronx County, New York",5755,"36","05","002800",7,0.00121633362293658,"36005002800","2","2002800"
"11",507,"Census Tract 31, Bronx County, New York",1227,"36","05","003100",10,0.00814995925020375,"36005003100","2","2003100"
"12",1144,"Census Tract 33, Bronx County, New York",3498,"36","05","003300",16,0.00457404230989137,"36005003300","2","2003300"
"13",1317,"Census Tract 35, Bronx County, New York",3729,"36","05","003500",3,0.00080450522928399,"36005003500","2","2003500"
"14",118,"Census Tract 37, Bronx County, New York",201,"36","05","003700",11,0.054726368159204,"36005003700","2","2003700"
"15",370,"Census Tract 38, Bronx County, New York",1694,"36","05","003800",8,0.00472255017709563,"36005003800","2","2003800"
"16",1902,"Census Tract 39, Bronx County, New York",6952,"36","05","003900",20,0.00287686996547756,"36005003900","2","2003900"
"17",2115,"Census Tract 41, Bronx County, New York",6116,"36","05","004100",12,0.00196206671026815,"36005004100","2","2004100"
"18",2712,"Census Tract 42, Bronx County, New York",6973,"36","05","004200",7,0.0010038720780152,"36005004200","2","2004200"
"19",2062,"Census Tract 43, Bronx County, New York",4647,"36","05","004300",27,0.00581020012911556,"36005004300","2","2004300"
"20",1639,"Census Tract 44, Bronx County, New York",4401,"36","05","004400",10,0.00227221086116792,"36005004400","2","2004400"
"21",1213,"Census Tract 48, Bronx County, New York",3954,"36","05","004800",6,0.00151745068285281,"36005004800","2","2004800"
"22",1481,"Census Tract 50.01, Bronx County, New York",4729,"36","05","005001",4,0.000845844787481497,"36005005001","2","2005001"
"23",1759,"Census Tract 50.02, Bronx County, New York",5306,"36","05","005002",13,0.0024500565397663,"36005005002","2","2005002"
"24",1960,"Census Tract 51, Bronx County, New York",5361,"36","05","005100",9,0.00167879127028539,"36005005100","2","2005100"
"25",813,"Census Tract 52, Bronx County, New York",1707,"36","05","005200",5,0.00292911540714704,"36005005200","2","2005200"
"26",1406,"Census Tract 53, Bronx County, New York",3640,"36","05","005300",12,0.0032967032967033,"36005005300","2","2005300"
"27",1729,"Census Tract 54, Bronx County, New York",6323,"36","05","005400",25,0.00395381938953029,"36005005400","2","2005400"
"28",871,"Census Tract 56, Bronx County, New York",2267,"36","05","005600",6,0.00264666960741068,"36005005600","2","2005600"
"29",1065,"Census Tract 59.02, Bronx County, New York",2397,"36","05","005902",1,0.000417188151856487,"36005005902","2","2005902"
"30",346,"Census Tract 60, Bronx County, New York",1317,"36","05","006000",10,0.00759301442672741,"36005006000","2","2006000"
"31",2169,"Census Tract 61, Bronx County, New York",3266,"36","05","006100",7,0.00214329454990814,"36005006100","2","2006100"
"32",2434,"Census Tract 62, Bronx County, New York",6578,"36","05","006200",10,0.00152021891152326,"36005006200","2","2006200"
"33",1834,"Census Tract 63, Bronx County, New York",5537,"36","05","006300",13,0.00234784179158389,"36005006300","2","2006300"
"34",1294,"Census Tract 64, Bronx County, New York",3722,"36","05","006400",26,0.00698549167114455,"36005006400","2","2006400"
