"","census","complaint.category","n","top"
"315","36005017902","household",6,"no"
"316","36005017902","noise",2,"no"
"317","36005017902","other",5,"no"
"318","36005018101","other",6,"no"
"319","36005018101","parking",2,"no"
"320","36005018102","household",1,"no"
"321","36005018102","noise",3,"no"
"322","36005018102","other",3,"no"
"323","36005018301","household",1,"no"
"324","36005018301","noise",8,"no"
"325","36005018301","other",5,"no"
"326","36005018302","collection",1,"no"
"327","36005018302","household",2,"no"
"328","36005018302","noise",2,"no"
"329","36005018302","other",3,"no"
"330","36005018302","parking",1,"no"
"331","36005018400","household",1,"no"
"332","36005018400","noise",1,"no"
"333","36005018400","other",10,"no"
"334","36005018400","parking",2,"no"
"335","36005018500","collection",1,"no"
"336","36005018500","household",8,"no"
"337","36005018500","noise",6,"no"
"338","36005018500","other",7,"no"
"339","36005018500","parking",2,"no"
"340","36005018900","household",7,"no"
"341","36005018900","noise",19,"no"
"342","36005018900","other",17,"no"
"343","36005018900","parking",2,"no"
"344","36005019300","household",8,"no"
"345","36005019300","noise",3,"no"
"346","36005019300","other",4,"no"
"347","36005019300","parking",1,"no"
"348","36005019400","household",2,"no"
"349","36005019400","other",13,"no"
"350","36005019500","household",4,"no"
"351","36005019500","noise",10,"no"
"352","36005019500","other",7,"no"
"353","36005019500","parking",1,"no"
"354","36005019700","household",7,"no"
"355","36005019700","noise",10,"no"
"356","36005019700","other",10,"no"
"357","36005019900","household",19,"no"
"358","36005019900","noise",4,"no"
"359","36005019900","other",15,"no"
"360","36005019900","parking",1,"no"
"361","36005020000","noise",1,"no"
"362","36005020000","other",7,"no"
"363","36005020000","parking",2,"no"
"364","36005020100","household",1,"no"
"365","36005020100","noise",3,"no"
"366","36005020100","other",6,"no"
"367","36005020200","household",1,"no"
"368","36005020200","noise",3,"no"
"369","36005020200","other",2,"no"
"370","36005020200","parking",1,"no"
"371","36005020400","collection",1,"no"
"372","36005020400","household",14,"no"
"373","36005020400","other",18,"no"
"374","36005020400","parking",2,"no"
"375","36005020501","household",4,"no"
"376","36005020501","noise",9,"no"
"377","36005020501","other",11,"no"
"378","36005020501","parking",3,"no"
"379","36005020502","noise",1,"no"
"380","36005020502","other",1,"no"
"381","36005020601","collection",1,"no"
"382","36005020601","noise",1,"no"
"383","36005020601","parking",2,"no"
"384","36005020900","household",6,"no"
"385","36005020900","noise",3,"no"
"386","36005020900","other",12,"no"
"387","36005020900","parking",1,"no"
"388","36005021001","household",8,"no"
"389","36005021001","noise",1,"no"
"390","36005021001","other",7,"no"
"391","36005021002","noise",1,"no"
"392","36005021100","household",1,"no"
"393","36005021100","noise",6,"no"
"394","36005021100","other",6,"no"
"395","36005021100","parking",1,"no"
"396","36005021200","household",1,"no"
"397","36005021200","noise",1,"no"
"398","36005021200","other",1,"no"
"399","36005021301","household",1,"no"
"400","36005021301","noise",1,"no"
"401","36005021301","other",2,"no"
"402","36005021302","household",7,"no"
"403","36005021302","noise",1,"no"
"404","36005021302","other",5,"no"
"405","36005021302","parking",3,"no"
"406","36005021501","household",6,"no"
"407","36005021501","noise",2,"no"
"408","36005021501","other",2,"no"
"409","36005021502","household",12,"no"
"410","36005021502","noise",4,"no"
"411","36005021502","other",6,"no"
"412","36005021502","parking",8,"no"
"413","36005021601","household",5,"no"
"414","36005021601","noise",2,"no"
"415","36005021601","other",1,"no"
"416","36005021602","noise",1,"no"
"417","36005021602","other",4,"no"
"418","36005021602","parking",1,"no"
"419","36005021700","household",5,"no"
"420","36005021700","noise",5,"no"
"421","36005021700","other",4,"no"
"422","36005021700","parking",2,"no"
"423","36005021800","collection",2,"no"
"424","36005021800","household",5,"no"
"425","36005021800","noise",2,"no"
"426","36005021800","other",6,"no"
"427","36005021800","parking",4,"no"
"428","36005021900","noise",2,"no"
"429","36005021900","other",8,"no"
"430","36005021900","parking",6,"no"
"431","36005022000","household",1,"no"
"432","36005022101","household",1,"no"
"433","36005022101","noise",1,"no"
"434","36005022101","other",1,"no"
"435","36005022102","household",2,"no"
"436","36005022102","noise",1,"no"
"437","36005022102","other",6,"no"
"438","36005022200","household",2,"no"
"439","36005022200","other",5,"no"
"440","36005022300","household",7,"no"
"441","36005022300","noise",3,"no"
"442","36005022300","other",5,"no"
"443","36005022300","parking",1,"no"
"444","36005022401","noise",1,"no"
"445","36005022401","other",1,"no"
"446","36005022403","other",4,"no"
"447","36005022404","household",4,"no"
"448","36005022404","noise",2,"no"
"449","36005022404","other",5,"no"
"450","36005022500","household",3,"no"
"451","36005022500","noise",2,"no"
"452","36005022500","other",8,"no"
"453","36005022500","parking",1,"no"
"454","36005022701","other",6,"no"
"455","36005022701","parking",2,"no"
"456","36005022702","noise",1,"no"
"457","36005022703","other",2,"no"
"458","36005022800","household",14,"no"
"459","36005022800","noise",4,"no"
"460","36005022800","other",4,"no"
"461","36005022800","parking",2,"no"
"462","36005022901","household",7,"no"
"463","36005022901","noise",6,"no"
"464","36005022901","other",7,"no"
"465","36005022901","parking",1,"no"
"466","36005022902","household",3,"no"
"467","36005022902","noise",1,"no"
"468","36005022902","other",3,"no"
"469","36005023000","other",10,"no"
"470","36005023000","parking",4,"no"
"471","36005023100","other",2,"no"
"472","36005023100","parking",1,"no"
"473","36005023200","household",1,"no"
"474","36005023200","other",5,"no"
"475","36005023200","parking",1,"no"
"476","36005023301","household",10,"no"
"477","36005023301","other",6,"no"
"478","36005023302","noise",3,"no"
"479","36005023302","other",22,"no"
"480","36005023302","parking",1,"no"
"481","36005023501","household",2,"no"
"482","36005023501","noise",2,"no"
"483","36005023501","other",3,"no"
"484","36005023502","household",7,"no"
"485","36005023502","noise",4,"no"
"486","36005023502","other",6,"no"
"487","36005023600","collection",1,"no"
"488","36005023600","noise",2,"no"
"489","36005023600","other",5,"no"
"490","36005023702","noise",4,"no"
"491","36005023702","other",2,"no"
"492","36005023703","household",4,"no"
"493","36005023703","noise",3,"no"
"494","36005023703","other",8,"no"
"495","36005023703","parking",3,"no"
"496","36005023704","noise",4,"no"
"497","36005023704","other",1,"no"
"498","36005023800","collection",1,"no"
"499","36005023800","other",3,"no"
"500","36005023800","parking",1,"no"
"501","36005023900","household",6,"no"
"502","36005023900","noise",9,"no"
"503","36005023900","other",13,"no"
"504","36005024000","collection",1,"no"
"505","36005024000","household",1,"no"
"506","36005024000","noise",1,"no"
"507","36005024000","other",8,"no"
"508","36005024000","parking",3,"no"
"509","36005024100","household",10,"no"
"510","36005024100","noise",7,"no"
"511","36005024100","other",14,"no"
"512","36005024300","household",13,"no"
"513","36005024300","other",13,"no"
"514","36005024400","collection",1,"no"
"515","36005024400","noise",1,"no"
"516","36005024400","other",3,"no"
"517","36005024400","parking",1,"no"
"518","36005024501","other",3,"no"
"519","36005024502","household",5,"no"
"520","36005024502","noise",4,"no"
"521","36005024502","other",8,"no"
"522","36005024502","parking",1,"no"
"523","36005024600","collection",1,"no"
"524","36005024600","other",5,"no"
"525","36005024600","parking",2,"no"
"526","36005024700","noise",1,"no"
"527","36005024800","noise",2,"no"
"528","36005024800","other",5,"no"
"529","36005025000","collection",1,"no"
"530","36005025000","noise",1,"no"
"531","36005025000","other",2,"no"
"532","36005025000","parking",4,"no"
"533","36005025100","collection",1,"no"
"534","36005025100","household",2,"no"
"535","36005025100","noise",8,"no"
"536","36005025100","other",8,"no"
"537","36005025100","parking",5,"no"
"538","36005025200","other",2,"no"
"539","36005025200","parking",3,"no"
"540","36005025300","noise",6,"no"
"541","36005025300","other",4,"no"
"542","36005025300","parking",1,"no"
"543","36005025400","other",3,"no"
"544","36005025400","parking",1,"no"
"545","36005025500","household",4,"no"
"546","36005025500","noise",5,"no"
"547","36005025500","other",7,"no"
"548","36005025500","parking",4,"no"
"549","36005025600","collection",1,"no"
"550","36005025600","noise",3,"no"
"551","36005025600","other",10,"no"
"552","36005025600","parking",1,"no"
"553","36005025700","household",1,"no"
"554","36005025700","noise",4,"no"
"555","36005025700","other",8,"no"
"556","36005025700","parking",2,"no"
"557","36005026100","parking",2,"no"
"558","36005026300","household",3,"no"
"559","36005026300","noise",4,"no"
"560","36005026300","other",2,"no"
"561","36005026300","parking",1,"no"
"562","36005026400","collection",3,"no"
"563","36005026400","noise",7,"no"
"564","36005026400","other",5,"no"
"565","36005026400","parking",3,"no"
"566","36005026500","household",7,"no"
"567","36005026500","noise",14,"no"
"568","36005026500","other",3,"no"
"569","36005026500","parking",3,"no"
"570","36005026601","other",4,"no"
"571","36005026602","household",1,"no"
"572","36005026602","noise",1,"no"
"573","36005026602","other",5,"no"
"574","36005026602","parking",4,"no"
"575","36005026701","noise",4,"no"
"576","36005026701","other",5,"no"
"577","36005026701","parking",3,"no"
"578","36005026702","household",9,"no"
"579","36005026702","noise",4,"no"
"580","36005026702","other",4,"no"
"581","36005026702","parking",5,"no"
"582","36005026900","household",13,"no"
"583","36005026900","noise",7,"no"
"584","36005026900","other",1,"no"
"585","36005026900","parking",4,"no"
"586","36005027300","noise",3,"no"
"587","36005027300","other",8,"no"
"588","36005027300","parking",4,"no"
"589","36005027401","collection",7,"no"
"590","36005027401","household",2,"no"
"591","36005027401","other",7,"no"
"592","36005027402","collection",2,"no"
"593","36005027402","other",5,"no"
"594","36005027402","parking",1,"no"
"595","36005027700","household",10,"no"
"596","36005027700","noise",3,"no"
"597","36005027700","other",7,"no"
"598","36005027700","parking",1,"no"
"599","36005027900","household",3,"no"
"600","36005027900","noise",5,"no"
"601","36005027900","other",10,"no"
"602","36005027900","parking",1,"no"
"603","36005028100","other",1,"no"
"604","36005028100","parking",2,"no"
"605","36005028300","collection",1,"no"
"606","36005028300","household",1,"no"
"607","36005028300","other",2,"no"
"608","36005028400","other",3,"no"
"609","36005028500","noise",4,"no"
"610","36005028500","other",3,"no"
"611","36005028500","parking",1,"no"
"612","36005028600","household",2,"no"
"613","36005028600","other",2,"no"
"614","36005028700","household",2,"no"
"615","36005028700","noise",1,"no"
"616","36005028700","other",4,"no"
"617","36005028700","parking",4,"no"
"618","36005028800","noise",1,"no"
"619","36005028800","other",3,"no"
"620","36005028800","parking",3,"no"
"621","36005028900","household",3,"no"
"622","36005028900","noise",2,"no"
"623","36005028900","other",7,"no"
"624","36005028900","parking",7,"no"
"625","36005029301","noise",1,"no"
"626","36005029302","collection",2,"no"
"627","36005029302","noise",1,"no"
"628","36005029302","other",3,"no"
"629","36005029302","parking",1,"no"
"630","36005029500","collection",1,"no"
"631","36005029500","noise",13,"no"
"632","36005029500","other",3,"no"
"633","36005029500","parking",3,"no"
"634","36005029600","collection",1,"no"
"635","36005029600","noise",5,"no"
"636","36005029600","other",1,"no"
"637","36005029600","parking",1,"no"
"638","36005029700","household",5,"no"
"639","36005029700","other",5,"no"
"640","36005029700","parking",1,"no"
"641","36005030000","collection",2,"no"
"642","36005030000","noise",4,"no"
"643","36005030000","other",4,"no"
"644","36005030100","other",1,"no"
"645","36005030200","collection",1,"no"
"646","36005030200","household",3,"no"
"647","36005030200","noise",1,"no"
"648","36005030701","household",2,"no"
"649","36005030701","other",3,"no"
"650","36005030701","parking",1,"no"
"651","36005030900","other",1,"no"
"652","36005031000","noise",1,"no"
"653","36005031000","other",8,"no"
"654","36005031000","parking",2,"no"
"655","36005031200","other",5,"no"
"656","36005031400","collection",1,"no"
