"","Total Population","NAME","state","county","Census.Tract","n","avg_calls","id","alt_boro","alt_ct"
"91",2942,"Census Tract 159, Bronx County, New York","36","05","015900",12,0.00407885791978246,"36005015900","2","2015900"
"92",3572,"Census Tract 160, Bronx County, New York","36","05","016000",5,0.00139977603583427,"36005016000","2","2016000"
"93",4253,"Census Tract 161, Bronx County, New York","36","05","016100",7,0.00164589701387256,"36005016100","2","2016100"
"94",1605,"Census Tract 162, Bronx County, New York","36","05","016200",3,0.00186915887850467,"36005016200","2","2016200"
"95",416,"Census Tract 163, Bronx County, New York","36","05","016300",17,0.0408653846153846,"36005016300","2","2016300"
"96",1040,"Census Tract 164, Bronx County, New York","36","05","016400",2,0.00192307692307692,"36005016400","2","2016400"
"97",1219,"Census Tract 165, Bronx County, New York","36","05","016500",14,0.0114848236259229,"36005016500","2","2016500"
"98",2416,"Census Tract 166, Bronx County, New York","36","05","016600",14,0.00579470198675497,"36005016600","2","2016600"
"99",1910,"Census Tract 167, Bronx County, New York","36","05","016700",14,0.00732984293193717,"36005016700","2","2016700"
"100",2174,"Census Tract 169, Bronx County, New York","36","05","016900",15,0.00689972401103956,"36005016900","2","2016900"
"102",5437,"Census Tract 173, Bronx County, New York","36","05","017300",23,0.00423027404818834,"36005017300","2","2017300"
"103",6529,"Census Tract 175, Bronx County, New York","36","05","017500",4,0.000612651248276918,"36005017500","2","2017500"
"104",3867,"Census Tract 177.01, Bronx County, New York","36","05","017701",5,0.0012929919834497,"36005017701","2","2017701"
"105",4269,"Census Tract 177.02, Bronx County, New York","36","05","017702",3,0.000702740688685875,"36005017702","2","2017702"
"106",5244,"Census Tract 179.01, Bronx County, New York","36","05","017901",15,0.0028604118993135,"36005017901","2","2017901"
"107",3476,"Census Tract 179.02, Bronx County, New York","36","05","017902",8,0.00230149597238205,"36005017902","2","2017902"
"108",3088,"Census Tract 181.01, Bronx County, New York","36","05","018101",2,0.000647668393782383,"36005018101","2","2018101"
"109",5364,"Census Tract 181.02, Bronx County, New York","36","05","018102",3,0.000559284116331096,"36005018102","2","2018102"
"110",4276,"Census Tract 183.01, Bronx County, New York","36","05","018301",3,0.000701590271281572,"36005018301","2","2018301"
"111",3638,"Census Tract 183.02, Bronx County, New York","36","05","018302",5,0.00137438152831226,"36005018302","2","2018302"
"112",3828,"Census Tract 184, Bronx County, New York","36","05","018400",11,0.0028735632183908,"36005018400","2","2018400"
"113",6033,"Census Tract 185, Bronx County, New York","36","05","018500",12,0.00198906016907011,"36005018500","2","2018500"
"114",8051,"Census Tract 189, Bronx County, New York","36","05","018900",24,0.00298099614954664,"36005018900","2","2018900"
"115",5311,"Census Tract 193, Bronx County, New York","36","05","019300",11,0.00207117303709283,"36005019300","2","2019300"
"116",1842,"Census Tract 194, Bronx County, New York","36","05","019400",16,0.00868621064060804,"36005019400","2","2019400"
"117",6680,"Census Tract 195, Bronx County, New York","36","05","019500",5,0.000748502994011976,"36005019500","2","2019500"
"118",8092,"Census Tract 197, Bronx County, New York","36","05","019700",12,0.00148294611962432,"36005019700","2","2019700"
"119",7958,"Census Tract 199, Bronx County, New York","36","05","019900",26,0.00326715255089218,"36005019900","2","2019900"
"120",4836,"Census Tract 200, Bronx County, New York","36","05","020000",13,0.00268817204301075,"36005020000","2","2020000"
"121",4051,"Census Tract 201, Bronx County, New York","36","05","020100",11,0.00271537891878549,"36005020100","2","2020100"
"122",2029,"Census Tract 202, Bronx County, New York","36","05","020200",8,0.003942828979793,"36005020200","2","2020200"
"123",2916,"Census Tract 204, Bronx County, New York","36","05","020400",24,0.00823045267489712,"36005020400","2","2020400"
"124",6995,"Census Tract 205.01, Bronx County, New York","36","05","020501",3,0.000428877769835597,"36005020501","2","2020501"
"125",2957,"Census Tract 206.01, Bronx County, New York","36","05","020601",2,0.000676361176868448,"36005020601","2","2020601"
"126",4199,"Census Tract 209, Bronx County, New York","36","05","020900",6,0.00142891164562991,"36005020900","2","2020900"
"127",8575,"Census Tract 210.01, Bronx County, New York","36","05","021001",4,0.000466472303206997,"36005021001","2","2021001"
"128",4700,"Census Tract 211, Bronx County, New York","36","05","021100",16,0.00340425531914894,"36005021100","2","2021100"
"129",5721,"Census Tract 212, Bronx County, New York","36","05","021200",7,0.00122356231428072,"36005021200","2","2021200"
"130",1331,"Census Tract 213.01, Bronx County, New York","36","05","021301",2,0.00150262960180316,"36005021301","2","2021301"
"131",5104,"Census Tract 213.02, Bronx County, New York","36","05","021302",9,0.00176332288401254,"36005021302","2","2021302"
"132",6000,"Census Tract 215.02, Bronx County, New York","36","05","021502",10,0.00166666666666667,"36005021502","2","2021502"
"133",3684,"Census Tract 216.01, Bronx County, New York","36","05","021601",4,0.001085776330076,"36005021601","2","2021601"
"134",5636,"Census Tract 216.02, Bronx County, New York","36","05","021602",1,0.000177430801987225,"36005021602","2","2021602"
"135",5663,"Census Tract 217, Bronx County, New York","36","05","021700",8,0.00141267879215963,"36005021700","2","2021700"
"136",6158,"Census Tract 218, Bronx County, New York","36","05","021800",7,0.00113673270542384,"36005021800","2","2021800"
"137",1346,"Census Tract 219, Bronx County, New York","36","05","021900",10,0.00742942050520059,"36005021900","2","2021900"
"138",1081,"Census Tract 220, Bronx County, New York","36","05","022000",6,0.00555041628122109,"36005022000","2","2022000"
"139",3731,"Census Tract 221.01, Bronx County, New York","36","05","022101",3,0.000804073974805682,"36005022101","2","2022101"
"140",5854,"Census Tract 221.02, Bronx County, New York","36","05","022102",8,0.00136658694909464,"36005022102","2","2022102"
"141",2894,"Census Tract 222, Bronx County, New York","36","05","022200",7,0.00241879751209399,"36005022200","2","2022200"
"142",5618,"Census Tract 223, Bronx County, New York","36","05","022300",18,0.00320398718405126,"36005022300","2","2022300"
"143",4360,"Census Tract 224.04, Bronx County, New York","36","05","022404",2,0.000458715596330275,"36005022404","2","2022404"
"144",8574,"Census Tract 225, Bronx County, New York","36","05","022500",26,0.00303242360625146,"36005022500","2","2022500"
"145",5293,"Census Tract 227.01, Bronx County, New York","36","05","022701",1,0.000188928773852258,"36005022701","2","2022701"
"146",1662,"Census Tract 227.02, Bronx County, New York","36","05","022702",1,0.000601684717208183,"36005022702","2","2022702"
"147",6204,"Census Tract 228, Bronx County, New York","36","05","022800",33,0.00531914893617021,"36005022800","2","2022800"
"148",5619,"Census Tract 229.01, Bronx County, New York","36","05","022901",4,0.000711870439579996,"36005022901","2","2022901"
"149",2979,"Census Tract 230, Bronx County, New York","36","05","023000",26,0.00872776099362202,"36005023000","2","2023000"
"150",1227,"Census Tract 231, Bronx County, New York","36","05","023100",12,0.0097799511002445,"36005023100","2","2023100"
"151",2512,"Census Tract 232, Bronx County, New York","36","05","023200",20,0.00796178343949045,"36005023200","2","2023200"
"152",4397,"Census Tract 233.01, Bronx County, New York","36","05","023301",10,0.00227427791676143,"36005023301","2","2023301"
"153",2839,"Census Tract 233.02, Bronx County, New York","36","05","023302",1,0.000352236703064459,"36005023302","2","2023302"
"154",3590,"Census Tract 235.01, Bronx County, New York","36","05","023501",5,0.00139275766016713,"36005023501","2","2023501"
"155",4682,"Census Tract 235.02, Bronx County, New York","36","05","023502",12,0.00256300726185391,"36005023502","2","2023502"
"156",1760,"Census Tract 236, Bronx County, New York","36","05","023600",18,0.0102272727272727,"36005023600","2","2023600"
"157",1105,"Census Tract 237.02, Bronx County, New York","36","05","023702",1,0.000904977375565611,"36005023702","2","2023702"
"158",5717,"Census Tract 237.03, Bronx County, New York","36","05","023703",9,0.00157425223019066,"36005023703","2","2023703"
"159",3865,"Census Tract 237.04, Bronx County, New York","36","05","023704",1,0.000258732212160414,"36005023704","2","2023704"
"160",2380,"Census Tract 238, Bronx County, New York","36","05","023800",6,0.00252100840336134,"36005023800","2","2023800"
"161",7639,"Census Tract 239, Bronx County, New York","36","05","023900",17,0.00222542217567744,"36005023900","2","2023900"
"162",4162,"Census Tract 240, Bronx County, New York","36","05","024000",9,0.00216242191254205,"36005024000","2","2024000"
"163",5818,"Census Tract 241, Bronx County, New York","36","05","024100",33,0.00567205225163286,"36005024100","2","2024100"
"164",5541,"Census Tract 243, Bronx County, New York","36","05","024300",25,0.00451182097094387,"36005024300","2","2024300"
"165",2256,"Census Tract 244, Bronx County, New York","36","05","024400",6,0.00265957446808511,"36005024400","2","2024400"
"166",4375,"Census Tract 245.02, Bronx County, New York","36","05","024502",3,0.000685714285714286,"36005024502","2","2024502"
