"","complaint.category","Total Population","Census Measure","decile"
"314","parking",2880,"educ_decile",10
"315","parking",3434,"educ_decile",5
"316","other",2627,"educ_decile",4
"317","other",3410,"educ_decile",7
"318","other",3587,"educ_decile",4
"319","other",5798,"educ_decile",10
"320","other",5523,"educ_decile",8
"321","household",8670,"educ_decile",4
"322","parking",3107,"educ_decile",5
"323","other",3617,"educ_decile",7
"324","other",6911,"educ_decile",4
"325","collection",8370,"educ_decile",10
"326","other",6026,"educ_decile",2
"327","other",3133,"educ_decile",1
"328","other",2581,"educ_decile",2
"329","other",3054,"educ_decile",7
"330","other",2329,"educ_decile",10
"331","other",2047,"educ_decile",8
"332","other",3850,"educ_decile",1
"333","other",8078,"educ_decile",7
"334","parking",2671,"educ_decile",1
"335","other",3949,"educ_decile",8
"336","parking",1485,"educ_decile",5
"337","parking",2602,"educ_decile",4
"338","other",4624,"educ_decile",8
"339","household",2885,"educ_decile",2
"340","parking",2369,"educ_decile",8
"341","parking",2613,"educ_decile",9
"342","parking",1750,"educ_decile",7
"343","other",6108,"educ_decile",7
"344","other",4624,"educ_decile",8
"345","other",4624,"educ_decile",8
"346","other",3665,"educ_decile",4
"347","other",4624,"educ_decile",8
"348","other",4624,"educ_decile",8
"349","other",4624,"educ_decile",8
"350","other",4491,"educ_decile",3
"351","other",7644,"educ_decile",10
"352","other",3694,"educ_decile",2
"353","other",1952,"educ_decile",9
"354","household",3768,"educ_decile",2
"355","other",4973,"educ_decile",10
"356","parking",1724,"educ_decile",6
"357","other",4111,"educ_decile",8
"358","other",2795,"educ_decile",1
"359","other",3895,"educ_decile",3
"360","parking",2602,"educ_decile",4
"361","household",3068,"educ_decile",10
"362","other",8078,"educ_decile",7
"363","collection",8721,"educ_decile",6
"364","other",1870,"educ_decile",10
"365","collection",2089,"educ_decile",3
"366","other",2880,"educ_decile",5
"367","other",4284,"educ_decile",10
"368","household",3768,"educ_decile",2
"369","parking",5686,"educ_decile",6
"370","other",1615,"educ_decile",6
"371","parking",2236,"educ_decile",8
"372","parking",4139,"educ_decile",9
"373","other",2037,"educ_decile",8
"374","other",2317,"educ_decile",2
"375","other",4491,"educ_decile",3
"376","collection",5262,"educ_decile",10
"377","household",2433,"educ_decile",8
"378","noise",3163,"educ_decile",6
"379","other",4111,"educ_decile",8
"380","parking",2019,"educ_decile",8
"381","other",6250,"educ_decile",10
"382","collection",2352,"educ_decile",4
"383","noise",5523,"educ_decile",8
"384","other",3850,"educ_decile",1
"385","noise",5690,"educ_decile",6
"386","household",1452,"educ_decile",2
"387","other",8458,"educ_decile",10
"388","household",920,"educ_decile",8
"389","other",7644,"educ_decile",10
"390","other",0,"educ_decile",NA
"391","household",8033,"educ_decile",4
"392","parking",3290,"educ_decile",10
"393","other",2645,"educ_decile",8
"394","household",3228,"educ_decile",9
"395","noise",2671,"educ_decile",10
"396","collection",2483,"educ_decile",9
"397","other",7904,"educ_decile",8
"398","noise",6926,"educ_decile",10
"399","parking",5593,"educ_decile",8
"400","household",4876,"educ_decile",8
"401","other",2755,"educ_decile",10
"402","parking",4162,"educ_decile",3
"403","parking",8718,"educ_decile",4
"404","other",3409,"educ_decile",10
"405","other",3013,"educ_decile",1
"406","parking",3065,"educ_decile",8
"407","noise",9577,"educ_decile",3
"408","other",8406,"educ_decile",5
"409","other",3494,"educ_decile",2
"410","noise",5358,"educ_decile",7
"411","noise",2795,"educ_decile",1
"412","household",3220,"educ_decile",8
"413","noise",1875,"educ_decile",9
"414","parking",2221,"educ_decile",4
"415","other",3133,"educ_decile",1
"416","parking",3295,"educ_decile",8
"417","noise",1635,"educ_decile",9
"418","noise",7059,"educ_decile",8
"419","parking",2885,"educ_decile",2
"420","noise",4804,"educ_decile",8
"421","other",4591,"educ_decile",9
"422","household",10174,"educ_decile",2
"423","parking",4201,"educ_decile",8
"424","noise",7749,"educ_decile",6
"425","household",8033,"educ_decile",4
"426","other",1891,"educ_decile",6
"427","household",6179,"educ_decile",10
"428","household",8051,"educ_decile",1
"429","other",3531,"educ_decile",10
"430","household",4082,"educ_decile",7
"431","parking",6000,"educ_decile",8
"432","other",1889,"educ_decile",1
"433","other",6178,"educ_decile",6
"434","other",4389,"educ_decile",4
"435","other",3828,"educ_decile",5
"436","parking",3582,"educ_decile",9
"437","other",7279,"educ_decile",10
"438","collection",2352,"educ_decile",4
"439","other",4062,"educ_decile",9
"440","other",5085,"educ_decile",10
"441","noise",15698,"educ_decile",3
"442","noise",4266,"educ_decile",10
"443","noise",6647,"educ_decile",10
"444","parking",5069,"educ_decile",4
"445","other",4226,"educ_decile",6
"446","noise",26,"educ_decile",9
"447","noise",5358,"educ_decile",7
"448","other",4135,"educ_decile",7
"449","noise",5574,"educ_decile",10
"450","parking",4884,"educ_decile",3
"451","other",2885,"educ_decile",2
"452","other",2317,"educ_decile",2
"453","noise",2720,"educ_decile",8
"454","household",6442,"educ_decile",3
"455","other",8575,"educ_decile",4
"456","collection",2816,"educ_decile",5
"457","collection",2352,"educ_decile",4
"458","parking",4859,"educ_decile",1
"459","collection",3255,"educ_decile",4
"460","other",1889,"educ_decile",1
"461","parking",3692,"educ_decile",3
"462","noise",3492,"educ_decile",4
"463","noise",7658,"educ_decile",3
"464","noise",7456,"educ_decile",9
"465","parking",5316,"educ_decile",2
"466","parking",1292,"educ_decile",3
"467","other",2267,"educ_decile",1
"468","other",1410,"educ_decile",1
"469","other",6941,"educ_decile",7
"470","noise",3125,"educ_decile",4
"471","noise",3401,"educ_decile",8
"472","parking",3960,"educ_decile",2
"473","parking",6704,"educ_decile",1
"474","noise",3531,"educ_decile",10
"475","noise",3675,"educ_decile",7
"476","household",7644,"educ_decile",10
"477","parking",3517,"educ_decile",5
"478","parking",12228,"educ_decile",6
"479","other",7639,"educ_decile",1
"480","noise",3246,"educ_decile",3
"481","parking",5868,"educ_decile",7
"482","other",2885,"educ_decile",2
"483","other",5728,"educ_decile",3
"484","other",5854,"educ_decile",1
"485","other",9469,"educ_decile",2
"486","other",2249,"educ_decile",4
"487","other",5817,"educ_decile",10
"488","noise",2089,"educ_decile",3
"489","noise",5523,"educ_decile",8
"490","noise",3520,"educ_decile",8
"491","noise",6615,"educ_decile",2
"492","noise",5380,"educ_decile",2
"493","other",3652,"educ_decile",2
"494","other",3897,"educ_decile",9
"495","parking",3354,"educ_decile",1
"496","other",4591,"educ_decile",9
"497","noise",5694,"educ_decile",5
"498","noise",2561,"educ_decile",2
"499","other",5628,"educ_decile",3
"500","other",4133,"educ_decile",4
"501","other",4198,"educ_decile",9
"502","household",4821,"educ_decile",6
"503","collection",2938,"educ_decile",6
"504","other",3599,"educ_decile",8
"505","household",5855,"educ_decile",4
"506","other",4464,"educ_decile",8
"507","household",11107,"educ_decile",5
"508","other",2089,"educ_decile",3
"509","parking",6737,"educ_decile",4
"510","other",1686,"educ_decile",10
"511","other",8599,"educ_decile",9
"512","collection",2352,"educ_decile",4
"513","parking",13002,"educ_decile",10
"514","other",2440,"educ_decile",1
"515","other",6250,"educ_decile",10
"516","parking",6521,"educ_decile",5
"517","household",5814,"educ_decile",6
"518","other",8599,"educ_decile",9
"519","household",6529,"educ_decile",1
"520","other",2963,"educ_decile",6
"521","household",10588,"educ_decile",5
"522","other",4616,"educ_decile",4
"523","noise",5211,"educ_decile",5
"524","noise",9686,"educ_decile",9
"525","other",3850,"educ_decile",1
"526","parking",1292,"educ_decile",3
"527","other",3665,"educ_decile",4
"528","household",5306,"educ_decile",1
"529","parking",3256,"educ_decile",1
"530","parking",2483,"educ_decile",9
"531","other",3174,"educ_decile",3
"532","noise",5474,"educ_decile",2
"533","other",1758,"educ_decile",3
"534","parking",5291,"educ_decile",3
"535","other",3165,"educ_decile",6
"536","noise",5358,"educ_decile",7
"537","noise",1124,"educ_decile",8
"538","noise",5690,"educ_decile",6
"539","other",2709,"educ_decile",6
"540","household",1795,"educ_decile",7
"541","other",2839,"educ_decile",1
"542","other",2588,"educ_decile",3
"543","noise",6647,"educ_decile",10
"544","other",1870,"educ_decile",10
"545","noise",6647,"educ_decile",10
"546","noise",3828,"educ_decile",8
"547","noise",1635,"educ_decile",9
"548","noise",3290,"educ_decile",10
"549","other",6360,"educ_decile",1
"550","other",5703,"educ_decile",1
"551","noise",5523,"educ_decile",8
"552","noise",5241,"educ_decile",5
"553","household",2247,"educ_decile",3
"554","other",2708,"educ_decile",3
"555","noise",3667,"educ_decile",8
"556","noise",2622,"educ_decile",4
"557","household",3768,"educ_decile",2
"558","parking",4663,"educ_decile",2
"559","noise",3667,"educ_decile",8
"560","household",3373,"educ_decile",7
"561","noise",10174,"educ_decile",2
"562","noise",2859,"educ_decile",9
"563","other",6294,"educ_decile",1
"564","noise",4808,"educ_decile",2
"565","other",2068,"educ_decile",3
"566","other",4326,"educ_decile",7
"567","noise",6534,"educ_decile",9
"568","other",1817,"educ_decile",9
"569","other",0,"educ_decile",NA
"570","other",4286,"educ_decile",4
